id,loc,mon,year,scales_AT_1,scales_AT_2,scales_AT_final,scales_CH_1,scales_CH_2,scales_CH_final,scales_CONSENSUS,edgeIsAnnulus
BIG 129,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 130,Big Creek,October,2014,3,3,3,4,4,4,3,No (Fall)
BIG 131,Big Creek,October,2014,3,3,3,4,4,4,4,No (younger by one yr)
BIG 132,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 133,Big Creek,October,2014,0,1,0,1,1,1,0,No (Fall)
BIG 134,Big Creek,October,2014,0,1,0,1,1,1,0,No (Fall)
BIG 135,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 136,Big Creek,October,2014,0,0,0,0,0,0,0,No (Fall)
BIG 137,Big Creek,October,2014,0,1,0,1,1,1,1,No (younger by one yr)
BIG 138,Big Creek,October,2014,3,4,3,4,4,4,4,No (younger by one yr)
BIG 139,Big Creek,October,2014,2,4,5,3,3,3,3,No (younger by one yr)
BIG 140,Big Creek,October,2014,4,5,4,4,4,4,4,No (younger by one yr)
BIG 141,Big Creek,October,2014,0,1,0,1,1,1,1,No (younger by one yr)
BIG 142,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 143,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 144,Big Creek,October,2014,0,0,0,0,0,0,0,No (Fall)
BIG 145,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 146,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 147,Big Creek,October,2014,3,4,3,4,4,4,3,No (Fall)
BIG 148,Big Creek,October,2014,3,2,2,3,4,3,2,No (Fall)
BIG 149,Big Creek,October,2014,5,4,3,4,4,4,3,No (Fall)
BIG 150,Big Creek,October,2014,3,4,3,4,3,4,3,No (Fall)
BIG 151,Big Creek,October,2014,1,1,1,1,1,1,1,No (younger by one yr)
BIG 152,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 153,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 154,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 155,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 156,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 157,Big Creek,October,2014,0,0,0,0,0,0,0,No (Fall)
BIG 158,Big Creek,October,2014,0,0,0,0,0,0,0,No (Fall)
BIG 161,Big Creek,October,2014,2,2,2,3,2,3,2,No (younger by one yr)
BIG 162,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 163,Big Creek,October,2014,0,0,0,0,0,0,0,No (Fall)
BIG 164,Big Creek,October,2014,0,0,0,1,1,1,0,No (Fall)
BIG 165,Big Creek,October,2014,3,3,3,3,3,3,3,No (younger by one yr)
A 001,Big Creek,October,2014,3,3,3,3,3,3,3,No (younger by one yr)
A 002,Big Creek,October,2014,2,3,3,2,2,2,2,No (Fall)
A 003,Big Creek,October,2014,3,4,2,3,3,3,3,No (younger by one yr)
A 004,Big Creek,October,2014,3,4,3,3,3,3,3,No (younger by one yr)
BIG 166,Big Creek,October,2014,4,5,3,3,4,3,3,No (Fall)
BIG 167,Big Creek,October,2014,3,3,3,2,3,2,3,No (younger by one yr)
A 006,Big Creek,October,2014,0,0,0,0,0,0,0,No (Fall)
A 007,Big Creek,October,2014,1,1,1,0,0,0,1,No (younger by one yr)
A 008,Big Creek,October,2014,0,0,0,0,0,0,0,No (Fall)
A 009,Big Creek,October,2014,0,0,0,0,0,0,0,No (Fall)
BIG 168,Big Creek,October,2014,4,4,4,3,3,3,3,No (Fall)
A 010,Big Creek,October,2014,1,1,1,0,0,0,1,No (younger by one yr)
A 011,Big Creek,October,2014,0,0,0,0,0,0,0,No (Fall)
A 012,Big Creek,October,2014,0,0,0,0,0,0,0,No (Fall)
A 013,Big Creek,October,2014,0,0,0,0,0,0,0,No (Fall)
A 014,Big Creek,October,2014,0,0,0,0,0,0,0,No (Fall)
A 015,Big Creek,October,2014,2,2,2,1,1,1,2,No (younger by one yr)
