id,species,locyr,tl,wt,scale_1,scale_2,scale_3,otolith_1,otolith_2,otolith_3
2310,LMB,Pleasant Hill_2013,281,237,4,3,4,3,3,3
2311,LMB,Pleasant Hill_2013,347,486,3,3,4,3,3,3
2313,LMB,Pleasant Hill_2013,430,1093,7,6,7,8,8,8
2314,LMB,Pleasant Hill_2013,386,229,2,2,4,2,2,2
2316,LMB,Pleasant Hill_2013,332,479,3,3,5,3,3,3
2317,LMB,Pleasant Hill_2013,424,1135,6,6,9,6,6,6
2318,LMB,Pleasant Hill_2013,390,833,7,6,9,6,6,6
2320,LMB,Pleasant Hill_2013,374,864,4,4,6,4,4,4
2321,LMB,Pleasant Hill_2013,432,1243,7,5,7,6,6,6
2323,LMB,Pleasant Hill_2013,370,701,6,5,6,6,6,6
2324,LMB,Pleasant Hill_2013,393,814,4,5,6,5,5,5
2325,LMB,Pleasant Hill_2013,427,1043,5,6,7,8,8,8
2326,LMB,Pleasant Hill_2013,381,690,4,5,6,4,4,3
2327,LMB,Pleasant Hill_2013,241,170,2,1,4,2,2,2
2328,LMB,Pleasant Hill_2013,262,195,2,1,4,2,2,2
2329,LMB,Pleasant Hill_2013,303,334,4,3,5,3,3,3
2330,LMB,Pleasant Hill_2013,464,1484,6,7,15,7,7,7
2331,LMB,Pleasant Hill_2013,435,1228,5,8,10,8,8,8
2332,LMB,Pleasant Hill_2013,224,138,2,1,4,2,2,2
2333,LMB,Pleasant Hill_2013,268,209,2,2,2,2,2,2
2334,LMB,Pleasant Hill_2013,184,57,1,1,2,1,1,1
2335,LMB,Pleasant Hill_2013,262,210,2,2,3,2,2,2
2336,LMB,Pleasant Hill_2013,170,50,1,1,1,1,1,1
2337,LMB,Pleasant Hill_2013,408,911,4,5,10,6,6,7
2338,LMB,Pleasant Hill_2013,368,780,5,6,8,6,6,7
2339,LMB,Pleasant Hill_2013,353,582,5,5,6,5,5,5
2340,LMB,Pleasant Hill_2013,312,357,3,2,4,3,3,3
2341,LMB,Pleasant Hill_2013,140,30,1,1,1,1,1,1
2403,LMB,Pleasant Hill_2013,497,2010,9,8,9,8,9,8
2404,LMB,Pleasant Hill_2013,400,887,5,6,8,6,6,6
2405,LMB,Pleasant Hill_2013,396,898,5,5,6,5,5,5
2406,LMB,Pleasant Hill_2013,316,425,3,4,3,3,3,3
2407,LMB,Pleasant Hill_2013,457,1332,5,6,9,8,8,8
2408,LMB,Pleasant Hill_2013,300,352,3,2,4,3,3,3
2409,LMB,Pleasant Hill_2013,365,674,7,6,8,6,6,6
2410,LMB,Pleasant Hill_2013,419,966,6,7,5,6,6,6
2411,LMB,Pleasant Hill_2013,370,804,3,3,4,3,3,3
2412,LMB,Pleasant Hill_2013,273,227,NA,NA,2,2,2,2
2413,LMB,Pleasant Hill_2013,330,404,4,3,4,3,3,3
2414,LMB,Pleasant Hill_2013,287,308,6,2,6,4,4,5
2415,LMB,Pleasant Hill_2013,258,210,2,1,4,2,2,2
2416,LMB,Pleasant Hill_2013,258,203,2,2,3,2,2,2
2417,LMB,Pleasant Hill_2013,212,103,3,1,2,2,3,3
2419,LMB,Pleasant Hill_2013,241,152,2,1,2,2,2,2
2420,LMB,Pleasant Hill_2013,164,47,1,1,2,1,1,1
2422,LMB,Pleasant Hill_2013,135,24,1,1,1,1,1,1
2423,LMB,Pleasant Hill_2013,181,69,NA,1,2,2,2,2
2424,LMB,Pleasant Hill_2013,173,57,1,1,2,1,1,1
2425,LMB,Pleasant Hill_2013,231,149,3,2,4,2,2,2
2426,LMB,Pleasant Hill_2013,162,44,1,1,1,1,1,1
2427,LMB,Pleasant Hill_2013,141,28,1,1,1,1,1,1
2428,LMB,Pleasant Hill_2013,410,1040,6,8,8,6,6,6
2429,LMB,Pleasant Hill_2013,398,907,7,7,6,6,6,6
2430,LMB,Pleasant Hill_2013,411,986,5,6,4,6,6,6
